stad;taal;plek;kosten_eur;bron_geverifieerd;maps_link;bestaat_en_is_open (VUL IN: ja/nee)
Den Haag;Nederlands;Haagse Bos / Koekamp;0.0;ja;https://www.google.com/maps/search/?api=1&query=Haagse+Bos+%2F+Koekamp%2C+Den+Haag;
Den Haag;Nederlands;Paleistuin (achter Paleis Noordeinde);0.0;ja;https://www.google.com/maps/search/?api=1&query=Paleistuin+%28achter+Paleis+Noordeinde%29%2C+Prinsessewal%2C+Den+Haag%2C+Den+Haag;
Den Haag;Nederlands;Vredespaleis Visitors Centre;0.0;ja;https://www.google.com/maps/search/?api=1&query=Vredespaleis+Visitors+Centre%2C+Carnegieplein+2%2C+2517+KJ+Den+Haag%2C+Den+Haag;
Den Haag;Nederlands;Terug naar Den Haag Centraal;0.0;ja;https://www.google.com/maps/search/?api=1&query=Terug+naar+Den+Haag+Centraal%2C+Den+Haag;
Den Haag;العربية;Binnenhof & Hofvijver;0.0;ja;https://www.google.com/maps/search/?api=1&query=Binnenhof+%26+Hofvijver%2C+Binnenhof%2C+2513+AA+Den+Haag%2C+Den+Haag;
Den Haag;العربية;Paleistuin (حديقة القصر);0.0;ja;https://www.google.com/maps/search/?api=1&query=Paleistuin+%28%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+%D8%A7%D9%84%D9%82%D8%B5%D8%B1%29%2C+Noordeinde+68+%2F+%D8%A7%D9%84%D9%85%D8%AF%D8%AE%D9%84+%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A+%D8%B9%D8%A8%D8%B1+Prinsessewal%2C+Den+Haag%2C+Den+Haag;
Den Haag;العربية;Haagse Bos (غابة لاهاي);0.0;ja;https://www.google.com/maps/search/?api=1&query=Haagse+Bos+%28%D8%BA%D8%A7%D8%A8%D8%A9+%D9%84%D8%A7%D9%87%D8%A7%D9%8A%29%2C+Bezuidenhoutseweg%2C+Den+Haag+%28%D8%A7%D9%84%D9%85%D8%AF%D8%AE%D9%84+%D9%82%D8%B1%D9%8A%D8%A8+%D9%85%D9%86+%D8%A7%D9%84%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9%29%2C+Den+Haag;
Den Haag;العربية;العودة إلى Den Haag Centraal;0.0;ja;https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9+%D8%A5%D9%84%D9%89+Den+Haag+Centraal%2C+Den+Haag;
Rotterdam;Nederlands;Markthal;0.0;ja;https://www.google.com/maps/search/?api=1&query=Markthal%2C+Ds.+Jan+Scharpstraat+298%2C+3011+GZ+Rotterdam%2C+Rotterdam;
Rotterdam;Nederlands;Museumpark;0.0;ja;https://www.google.com/maps/search/?api=1&query=Museumpark%2C+Museumpark%2C+Rotterdam%2C+Rotterdam;
Rotterdam;Nederlands;Het Park (bij de Euromast);0.0;ja;https://www.google.com/maps/search/?api=1&query=Het+Park+%28bij+de+Euromast%29%2C+Westzeedijk+%2F+Parkkade%2C+Rotterdam%2C+Rotterdam;
Rotterdam;Nederlands;Rotterdam Centraal;0.0;ja;https://www.google.com/maps/search/?api=1&query=Rotterdam+Centraal%2C+Stationsplein%2C+Rotterdam%2C+Rotterdam;
Rotterdam;العربية;Markthal;0.0;ja;https://www.google.com/maps/search/?api=1&query=Markthal%2C+Dominee+Jan+Scharpstraat+298%2C+3011+GZ+Rotterdam%2C+Rotterdam;
Rotterdam;العربية;Kubuswoningen (البيوت المكعبة);0.0;ja;https://www.google.com/maps/search/?api=1&query=Kubuswoningen+%28%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D8%AA+%D8%A7%D9%84%D9%85%D9%83%D8%B9%D8%A8%D8%A9%29%2C+Overblaak+70%2C+3011+MH+Rotterdam%2C+Rotterdam;
Rotterdam;العربية;Oude Haven (الميناء القديم);0.0;ja;https://www.google.com/maps/search/?api=1&query=Oude+Haven+%28%D8%A7%D9%84%D9%85%D9%8A%D9%86%D8%A7%D8%A1+%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%29%2C+Oudehaven%2C+3011+Rotterdam%2C+Rotterdam;
Rotterdam;العربية;Het Park (bij de Euromast);0.0;ja;https://www.google.com/maps/search/?api=1&query=Het+Park+%28bij+de+Euromast%29%2C+Nieuwe+Werk%2C+3016+Rotterdam%2C+Rotterdam;
Rotterdam;العربية;العودة إلى Rotterdam Centraal;0.0;ja;https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9+%D8%A5%D9%84%D9%89+Rotterdam+Centraal%2C+Rotterdam;
Utrecht;Nederlands;Bibliotheek Neude;0.0;ja;https://www.google.com/maps/search/?api=1&query=Bibliotheek+Neude%2C+Neude+11%2C+3512+AE+Utrecht%2C+Utrecht;
Utrecht;Nederlands;Domkerk & Domplein;0.0;ja;https://www.google.com/maps/search/?api=1&query=Domkerk+%26+Domplein%2C+Achter+de+Dom+1%2C+3512+JN+Utrecht%2C+Utrecht;
Utrecht;Nederlands;Wandeling langs de Oudegracht;0.0;ja;https://www.google.com/maps/search/?api=1&query=Wandeling+langs+de+Oudegracht%2C+Utrecht;
Utrecht;Nederlands;Griftpark;0.0;ja;https://www.google.com/maps/search/?api=1&query=Griftpark%2C+Van+Swindenstraat+129%2C+Utrecht%2C+Utrecht;
Utrecht;Nederlands;Terug naar Utrecht Centraal;0.0;ja;https://www.google.com/maps/search/?api=1&query=Terug+naar+Utrecht+Centraal%2C+Utrecht;
Utrecht;العربية;محطة أوترخت المركزية (Utrecht Centraal);0.0;ja;https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AD%D8%B7%D8%A9+%D8%A3%D9%88%D8%AA%D8%B1%D8%AE%D8%AA+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9+%28Utrecht+Centraal%29%2C+Utrecht;
Utrecht;العربية;ساحة الكاتدرائية وكنيسة الدوم (Domplein / Domkerk);0.0;ja;https://www.google.com/maps/search/?api=1&query=%D8%B3%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%83%D8%A7%D8%AA%D8%AF%D8%B1%D8%A7%D8%A6%D9%8A%D8%A9+%D9%88%D9%83%D9%86%D9%8A%D8%B3%D8%A9+%D8%A7%D9%84%D8%AF%D9%88%D9%85+%28Domplein+%2F+Domkerk%29%2C+Domplein%2C+3512+JD+Utrecht%2C+Utrecht;
Utrecht;العربية;قناة أودخراخت وساحة الأرنب نijntje Pleintje;0.0;ja;https://www.google.com/maps/search/?api=1&query=%D9%82%D9%86%D8%A7%D8%A9+%D8%A3%D9%88%D8%AF%D8%AE%D8%B1%D8%A7%D8%AE%D8%AA+%D9%88%D8%B3%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%A3%D8%B1%D9%86%D8%A8+%D9%86ijntje+Pleintje%2C+%D8%B2%D8%A7%D9%88%D9%8A%D8%A9+Van+Asch+van+Wijckskade+%D9%88+1e+Achterstraat%2C+Utrecht%2C+Utrecht;
Utrecht;العربية;حديقة فيلهلمينا (Wilhelminapark);0.0;nee;https://www.google.com/maps/search/?api=1&query=%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+%D9%81%D9%8A%D9%84%D9%87%D9%84%D9%85%D9%8A%D9%86%D8%A7+%28Wilhelminapark%29%2C+Wilhelminapark%2C+3581+NE+Utrecht%2C+Utrecht;
Utrecht;العربية;العودة إلى محطة أوترخت المركزية;0.0;nee;https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9+%D8%A5%D9%84%D9%89+%D9%85%D8%AD%D8%B7%D8%A9+%D8%A3%D9%88%D8%AA%D8%B1%D8%AE%D8%AA+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9%2C+Utrecht;
